"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",12,50,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,141,3
"book","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,141,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"fork","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,141,3
"memory","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,141,3
"blond","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,141,3
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"","","","",NA,NA,NA,"","","",NA,NA,141,3
"elbow","l","No","",NA,NA,1,"[1.247751099999732]","","",NA,NA,141,3
"ambition","l","No","",NA,NA,1,"[0.8507115999991584]","","",NA,NA,141,3
"elbow","d","HIT","",NA,NA,1,"[1.0171539000002667]","","",NA,NA,141,3
"salad","l","No","",NA,NA,1,"[0.7838930000007167]","","",NA,NA,141,3
"door","l","No","",NA,NA,0,"[1.0507455000006303]","","",NA,NA,141,3
"salad","d","HIT","",NA,NA,1,"[0.9841264999995474]","","",NA,NA,141,3
"tool","l","No","",NA,NA,1,"[1.0007748999996693]","","",NA,NA,141,3
"health","l","No","",NA,NA,1,"[0.7840624000000389]","","",NA,NA,141,3
"ambition","l","No","",NA,NA,1,"[1.3007748999998512]","","",NA,NA,141,3
"health","d","HIT","",NA,NA,1,"[0.9170551999995951]","","",NA,NA,141,3
"vest","l","No","",NA,NA,1,"[0.8007334000003539]","","",NA,NA,141,3
"ugly","l","No","",NA,NA,1,"[0.8170273999994606]","","",NA,NA,141,3
"vest","d","HIT","",NA,NA,1,"[0.9003898000000845]","","",NA,NA,141,3
"face","l","No","",NA,NA,1,"[0.9504449999994904]","","",NA,NA,141,3
"rock","l","No","",NA,NA,1,"[0.8170692000003328]","","",NA,NA,141,3
"face","d","HIT","",NA,NA,1,"[0.7006188999994265]","","",NA,NA,141,3
"bowl","l","No","",NA,NA,1,"[0.8506920999998329]","","",NA,NA,141,3
"key","l","No","",NA,NA,1,"[0.7672241000000213]","","",NA,NA,141,3
"bowl","d","HIT","",NA,NA,1,"[0.801323599999705]","","",NA,NA,141,3
"moment","l","No","",NA,NA,1,"[0.8171340999997483]","","",NA,NA,141,3
"useful","l","No","",NA,NA,1,"[0.7838073000002623]","","",NA,NA,141,3
"moment","d","HIT","",NA,NA,1,"[0.7837792000000263]","","",NA,NA,141,3
"water","l","No","",NA,NA,1,"[0.7506829000003563]","","",NA,NA,141,3
"coast","l","No","",NA,NA,1,"[0.8838917000002766]","","",NA,NA,141,3
"key","l","No","",NA,NA,0,"[0.8339697999999771]","","",NA,NA,141,3
"coast","d","HIT","",NA,NA,1,"[0.7671873999997842]","","",NA,NA,141,3
"plain","l","No","",NA,NA,1,"[0.6834715999993932]","","",NA,NA,141,3
"rock","l","No","",NA,NA,0,"[1.1338556000000608]","","",NA,NA,141,3
"plain","d","HIT","",NA,NA,1,"[0.9837803000000349]","","",NA,NA,141,3
"trunk","l","No","",NA,NA,1,"[0.8339734999999564]","","",NA,NA,141,3
"door","l","No","",NA,NA,0,"[0.7500807000005807]","","",NA,NA,141,3
"trunk","d","HIT","",NA,NA,0,"[1.2339406000000963]","","",NA,NA,141,3
"nervous","l","No","",NA,NA,1,"[0.8838064999999915]","","",NA,NA,141,3
"useful","l","No","",NA,NA,0,"[1.0338572000000568]","","",NA,NA,141,3
"nervous","d","HIT","",NA,NA,1,"[0.8672004000000015]","","",NA,NA,141,3
"quick","l","No","",NA,NA,1,"[0.7338098000000173]","","",NA,NA,141,3
"tool","l","No","",NA,NA,0,"[1.1342183000006116]","","",NA,NA,141,3
"quick","d","HIT","",NA,NA,1,"[0.7173572000001514]","","",NA,NA,141,3
"water","l","No","",NA,NA,1,"[1.0006436000003305]","","",NA,NA,141,3
"ugly","l","No","",NA,NA,0,"[0.7668541000002733]","","",NA,NA,141,3
"","","","curious",NA,NA,NA,"","","",NA,NA,141,3
"","","","teacher",NA,NA,NA,"","","",NA,NA,141,3
"","","","wagon",NA,NA,NA,"","","",NA,NA,141,3
"","","","curious",NA,NA,NA,"","","",NA,NA,141,3
"","","","wagon",NA,NA,NA,"","","",NA,NA,141,3
"","","","teacher",NA,NA,NA,"","","",NA,NA,141,3
"","","","",11,47,NA,"","","",NA,NA,141,3
"","","","",7,48,NA,"","","",NA,NA,141,3
"queen","l","No","",NA,NA,NA,"","[2.031659199999922]","['l']",1,NA,141,3
"butter","l","No ","",NA,NA,NA,"","[1.1005860999994184]","['l']",1,NA,141,3
"queen","d","HIT","",NA,NA,NA,"","[1.0505300999993779]","['l']",0,NA,141,3
"plant","l","No","",NA,NA,NA,"","[0.8004527000011876]","['l']",1,NA,141,3
"fear","l","No ","",NA,NA,NA,"","[0.7999541999997746]","['l']",1,NA,141,3
"plant","d","HIT","",NA,NA,NA,"","[0.7007495999987441]","['l']",0,NA,141,3
"army","l","No ","",NA,NA,NA,"","[1.0338239000011527]","['l']",1,NA,141,3
"chair","l","No","",NA,NA,NA,"","[1.0004408000004332]","['l']",1,NA,141,3
"army","d","HIT","",NA,NA,NA,"","[0.8509909000003972]","['d']",1,NA,141,3
"moral","l","No ","",NA,NA,NA,"","[1.0661798000001]","['l']",1,NA,141,3
"reserved","l","No ","",NA,NA,NA,"","[1.0172449000001507]","['l']",1,NA,141,3
"wagon","h","PM cue","",NA,NA,NA,"","[0.6841908999995212, 1.8665129000000888]","['d', 'h']",0,NA,141,3
"reserved","d","HIT","",NA,NA,NA,"","[1.8837458999987575]","['d']",1,NA,141,3
"fight","l","No ","",NA,NA,NA,"","[1.1672894000002998]","['l']",1,NA,141,3
"bench","l","No ","",NA,NA,NA,"","[0.850616199999422]","['l']",1,NA,141,3
"fight","d","HIT","",NA,NA,NA,"","[1.133173700000043]","['d']",1,NA,141,3
"space","l","No ","",NA,NA,NA,"","[1.083977500000401]","['l']",1,NA,141,3
"autumn","l","No ","",NA,NA,NA,"","[1.0504676999989897]","['l']",1,NA,141,3
"space","d","HIT","",NA,NA,NA,"","[0.9668645000001561]","['d']",1,NA,141,3
"green","l","No ","",NA,NA,NA,"","[0.9509890999997879]","['l']",1,NA,141,3
"nice","l","No ","",NA,NA,NA,"","[0.9170644999994693]","['l']",1,NA,141,3
"green","d","HIT","",NA,NA,NA,"","[1.20029760000034]","['d']",1,NA,141,3
"chair","l","No ","",NA,NA,NA,"","[1.0671256000005087]","['d']",0,NA,141,3
"teacher","h","PM cue","",NA,NA,NA,"","[1.5668669000006048]","['h']",1,NA,141,3
"delayed","l","No ","",NA,NA,NA,"","[1.150298799999291]","['l']",1,NA,141,3
"restaurant","l","No ","",NA,NA,NA,"","[1.2006067000002076]","['l']",1,NA,141,3
"delayed","d","HIT","",NA,NA,NA,"","[1.0340539999997418]","['d']",1,NA,141,3
"hammer","l","No ","",NA,NA,NA,"","[0.9336858999995457]","['l']",1,NA,141,3
"absurd","l","No ","",NA,NA,NA,"","[0.9838024999990012]","['l']",1,NA,141,3
"hammer","d","HIT","",NA,NA,NA,"","[0.9175298999998631]","['d']",1,NA,141,3
"basket","l","No ","",NA,NA,NA,"","[1.2671119000006001]","['l']",1,NA,141,3
"method","l","No","",NA,NA,NA,"","[1.000606899999184]","['l']",1,NA,141,3
"basket","d","HIT","",NA,NA,NA,"","[1.0002786999993987]","['d']",1,NA,141,3
"lantern","l","No ","",NA,NA,NA,"","[0.9003529000001436]","['l']",1,NA,141,3
"hope","l","No ","",NA,NA,NA,"","[1.050807600000553]","['l']",1,NA,141,3
"lantern","d","HIT","",NA,NA,NA,"","[1.0344826000000467]","['d']",1,NA,141,3
"curious","h","PM cue","",NA,NA,NA,"","[0.9506446000013966]","['l']",0,NA,141,3
"innocent","l","No ","",NA,NA,NA,"","[0.883695100001205]","['l']",1,NA,141,3
"autumn","l","No","",NA,NA,NA,"","[0.9842336999990948]","['d']",0,NA,141,3
"innocent","d","HIT","",NA,NA,NA,"","[0.9672363000008772]","['d']",1,NA,141,3
"wine","l","No ","",NA,NA,NA,"","[1.0004195000001346]","['l']",1,NA,141,3
"method","l","No ","",NA,NA,NA,"","[0.9339969000011479]","['d']",0,NA,141,3
"wine","d","HIT","",NA,NA,NA,"","[1.0005261000005703]","['d']",1,NA,141,3
"sleep","l","No ","",NA,NA,NA,"","[0.9340931999995519]","['l']",1,NA,141,3
"fear","l","No ","",NA,NA,NA,"","[0.8173535000005359]","['l']",1,NA,141,3
"sleep","d","HIT","",NA,NA,NA,"","[0.867506599999615]","['d']",1,NA,141,3
"machine","l","No ","",NA,NA,NA,"","[1.2671442000009847]","['l']",1,NA,141,3
"chance","l","No ","",NA,NA,NA,"","[1.1670167000011133]","['l']",1,NA,141,3
"machine","d","HIT","",NA,NA,NA,"","[0.9834133999993355]","['d']",1,NA,141,3
"hope","l","No","",NA,NA,NA,"","[1.4837852000000566]","['l']",1,NA,141,3
"wagon","h","PM cue","",NA,NA,NA,"","[1.7004142999994656]","['h']",1,NA,141,3
"hotel","l","No ","",NA,NA,NA,"","[1.2672098000002734]","['l']",1,NA,141,3
"bench","l","No ","",NA,NA,NA,"","[1.5837133000004542]","['d']",0,NA,141,3
"hotel","d","HIT","",NA,NA,NA,"","[1.0675246000009793]","['d']",1,NA,141,3
"paint","l","No ","",NA,NA,NA,"","[0.8507719999997789]","['l']",1,NA,141,3
"nice","l","No","",NA,NA,NA,"","[0.9670924000001833]","['d']",0,NA,141,3
"paint","d","HIT","",NA,NA,NA,"","[1.0002918999998656]","['d']",1,NA,141,3
"learn","l","No ","",NA,NA,NA,"","[1.4171956999998656]","['l']",1,NA,141,3
"hungry","l","No ","",NA,NA,NA,"","[0.9838912000013806]","['l']",1,NA,141,3
"curious","h","PM cue","",NA,NA,NA,"","[1.1170563999985461]","['d']",0,NA,141,3
"hungry","d","HIT","",NA,NA,NA,"","[0.9838393999998516]","['d']",1,NA,141,3
"absurd","l","No","",NA,NA,NA,"","[1.1003260999987106]","['l']",1,NA,141,3
"moral","l","No","",NA,NA,NA,"","[0.8841486000001169]","['l']",1,NA,141,3
"shadow","l","No","",NA,NA,NA,"","[0.8505887999999686]","['l']",1,NA,141,3
"office","l","No ","",NA,NA,NA,"","[1.2171800999985862]","['l']",1,NA,141,3
"shadow","d","HIT","",NA,NA,NA,"","[0.8502293000001373]","['d']",1,NA,141,3
"office","d","HIT","",NA,NA,NA,"","[1.167163599999185]","['d']",1,NA,141,3
"brave","l","No ","",NA,NA,NA,"","[1.1004272000009223]","['l']",1,NA,141,3
"learn","l","No ","",NA,NA,NA,"","[1.350701299999855]","['l']",1,NA,141,3
"brave","d","HIT","",NA,NA,NA,"","[0.717339599999832]","['d']",1,NA,141,3
"exercise","l","No ","",NA,NA,NA,"","[1.20039480000014]","['d']",0,NA,141,3
"chance","l","No","",NA,NA,NA,"","[0.9333846000008634]","['d']",0,NA,141,3
"exercise","d","HIT","",NA,NA,NA,"","[0.9505071999992651]","['d']",1,NA,141,3
"teacher","h","PM cue","",NA,NA,NA,"","[1.567173499999626]","['h']",1,NA,141,3
"identity","l","No","",NA,NA,NA,"","[1.2006278999997448]","['l']",1,NA,141,3
"butter","l","No","",NA,NA,NA,"","[1.067081600000165]","['l']",1,NA,141,3
"identity","d","HIT","",NA,NA,NA,"","[1.334229399999458]","['d']",1,NA,141,3
"theory","l","No","",NA,NA,NA,"","[0.9837680000000546]","['l']",1,NA,141,3
"restaurant","l","No","",NA,NA,NA,"","[0.7668892000001506]","['l']",1,NA,141,3
"theory","d","HIT","",NA,NA,NA,"","[1.0003056000005017]","['d']",1,NA,141,3
"teacher","d","HIT","",8,49,NA,"","","",NA,1,141,3
"nice","l","No","",NA,NA,NA,"","","",NA,1,141,3
"wagon","d","HIT","",NA,NA,NA,"","","",NA,1,141,3
"machine","l","No","",NA,NA,NA,"","","",NA,1,141,3
"curious","d","HIT","",NA,NA,NA,"","","",NA,0,141,3
"office","l","No","",NA,NA,NA,"","","",NA,1,141,3
"","","","",9,43,NA,"","","",NA,NA,NA,NA
