"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",1,80,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"lion","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"lion","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"black","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"black","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"field","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"field","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"excuse","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"excuse","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"woman","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"woman","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"lion","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"lion","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"black","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"black","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"field","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"field","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"excuse","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"excuse","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"woman","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,40,1
"woman","d","HIT","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"","","","",NA,NA,NA,"","","",NA,NA,40,1
"plane","l","No","",NA,NA,1,"[1.231976700015366]","","",NA,NA,40,1
"body","l","No","",NA,NA,1,"[1.183778899954632]","","",NA,NA,40,1
"plane","d","HIT","",NA,NA,1,"[0.6177062999922782]","","",NA,NA,40,1
"alien","l","No","",NA,NA,1,"[0.6340884999372065]","","",NA,NA,40,1
"dark","l","No","",NA,NA,1,"[0.9673504000529647]","","",NA,NA,40,1
"alien","d","HIT","",NA,NA,1,"[0.7176365000195801]","","",NA,NA,40,1
"clothing","l","No","",NA,NA,1,"[0.8172265000175685]","","",NA,NA,40,1
"serious","l","No","",NA,NA,1,"[0.8840562999248505]","","",NA,NA,40,1
"clothing","d","HIT","",NA,NA,1,"[0.8004853000165895]","","",NA,NA,40,1
"stomach","l","No","",NA,NA,1,"[0.5508336999919266]","","",NA,NA,40,1
"modest","l","No","",NA,NA,1,"[0.8337861000327393]","","",NA,NA,40,1
"stomach","d","HIT","",NA,NA,1,"[1.333360599935986]","","",NA,NA,40,1
"wonder","l","No","",NA,NA,1,"[1.0011467000003904]","","",NA,NA,40,1
"body","l","No","",NA,NA,1,"[0.7842326000100002]","","",NA,NA,40,1
"wonder","d","HIT","",NA,NA,1,"[0.4673364000627771]","","",NA,NA,40,1
"item","l","No","",NA,NA,1,"[0.6172729999525473]","","",NA,NA,40,1
"column","l","No","",NA,NA,1,"[0.6337786000221968]","","",NA,NA,40,1
"pencil","l","No","",NA,NA,1,"[0.7504278999986127]","","",NA,NA,40,1
"trust","l","No","",NA,NA,1,"[0.9334339000051841]","","",NA,NA,40,1
"item","l","No","",NA,NA,1,"[1.1171670000767335]","","",NA,NA,40,1
"trust","d","HIT","",NA,NA,0,"[1.1670745000010356]","","",NA,NA,40,1
"bathroom","l","No","",NA,NA,1,"[1.1343688999768347]","","",NA,NA,40,1
"honey","l","No","",NA,NA,1,"[0.8171558999456465]","","",NA,NA,40,1
"bathroom","d","HIT","",NA,NA,1,"[0.4509065999882296]","","",NA,NA,40,1
"modest","l","No","",NA,NA,1,"[0.6840511000482365]","","",NA,NA,40,1
"cottage","l","No","",NA,NA,1,"[0.700478499988094]","","",NA,NA,40,1
"dark","l","No","",NA,NA,1,"[0.9173021999886259]","","",NA,NA,40,1
"cottage","d","HIT","",NA,NA,1,"[0.3838513999944553]","","",NA,NA,40,1
"legend","l","No","",NA,NA,1,"[0.7670407999539748]","","",NA,NA,40,1
"serious","l","No","",NA,NA,1,"[0.8340682999696583]","","",NA,NA,40,1
"legend","d","HIT","",NA,NA,1,"[0.7337572000687942]","","",NA,NA,40,1
"history","l","No","",NA,NA,1,"[0.46717349998652935]","","",NA,NA,40,1
"pencil","l","No","",NA,NA,1,"[0.8677952999714762]","","",NA,NA,40,1
"history","d","HIT","",NA,NA,1,"[0.6337522000540048]","","",NA,NA,40,1
"metal","l","No","",NA,NA,1,"[0.5507633000379428]","","",NA,NA,40,1
"column","l","No","",NA,NA,1,"[0.6674274000106379]","","",NA,NA,40,1
"metal","d","HIT","",NA,NA,1,"[0.5175708000315353]","","",NA,NA,40,1
"foot","l","No","",NA,NA,1,"[0.783863199991174]","","",NA,NA,40,1
"honey","l","No","",NA,NA,1,"[1.1832605000818148]","","",NA,NA,40,1
"foot","d","HIT","",NA,NA,1,"[1.3006268999306485]","","",NA,NA,40,1
"","","","writer",NA,NA,NA,"","","",NA,NA,40,1
"","","","event",NA,NA,NA,"","","",NA,NA,40,1
"","","","bottle",NA,NA,NA,"","","",NA,NA,40,1
"","","","event",NA,NA,NA,"","","",NA,NA,40,1
"","","","bottle",NA,NA,NA,"","","",NA,NA,40,1
"","","","writer",NA,NA,NA,"","","",NA,NA,40,1
"","","","",1,80,NA,"","","",NA,NA,40,1
"","","","",60,60,NA,"","","",NA,NA,40,1
"mail","l","No","",NA,NA,NA,"","[1.2646787000121549]","['l']",1,NA,40,1
"watch","l","No ","",NA,NA,NA,"","[1.3504629000090063]","['l']",1,NA,40,1
"mail","d","HIT","",NA,NA,NA,"","[1.1003169999457896]","['d']",1,NA,40,1
"anxious","l","No","",NA,NA,NA,"","[1.1661834999686107]","['l']",1,NA,40,1
"truck","l","No ","",NA,NA,NA,"","[0.8339694000314921]","['l']",1,NA,40,1
"anxious","d","HIT","",NA,NA,NA,"","[0.8667560000903904]","['d']",1,NA,40,1
"humble","l","No ","",NA,NA,NA,"","[0.5664096999680623]","['l']",1,NA,40,1
