"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","","None",71,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"black","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"black","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"field","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"field","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"excuse","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"excuse","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"woman","l","No","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"woman","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"black","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"black","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"field","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"field","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"excuse","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"excuse","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"woman","l","No","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"woman","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"black","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"black","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"field","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"field","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"excuse","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"excuse","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"woman","l","No","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"woman","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"black","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"black","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"field","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"field","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"excuse","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"excuse","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"woman","l","No","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"woman","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"lion","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"black","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"black","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"field","l","No","","",NA,NA,"","","",NA,NA,60,1
"arm","l","No","","",NA,NA,"","","",NA,NA,60,1
"field","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"excuse","l","No","","",NA,NA,"","","",NA,NA,60,1
"statue","l","No","","",NA,NA,"","","",NA,NA,60,1
"excuse","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"woman","l","No","","",NA,NA,"","","",NA,NA,60,1
"city","l","No","","",NA,NA,"","","",NA,NA,60,1
"woman","d","HIT","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"","","","","",NA,NA,"","","",NA,NA,60,1
"plane","l","No","","",NA,1,"[2.426136599999154]","","",NA,NA,60,1
"body","l","No","","",NA,1,"[0.36720860000059474, 2.2836273000029905]","","",NA,NA,60,1
"plane","d","HIT","","",NA,0,"[0.4672522000000754]","","",NA,NA,60,1
"alien","l","No","","",NA,1,"[0.4005746000002546]","","",NA,NA,60,1
"dark","l","No","","",NA,1,"[0.4009392999978445]","","",NA,NA,60,1
"alien","d","HIT","","",NA,0,"[0.4838279999967199]","","",NA,NA,60,1
"clothing","l","No","","",NA,1,"[0.8171304000024975]","","",NA,NA,60,1
"serious","l","No","","",NA,1,"[0.5004429000000528]","","",NA,NA,60,1
"clothing","d","HIT","","",NA,0,"[0.6507375000001048]","","",NA,NA,60,1
"stomach","l","No","","",NA,1,"[0.5501872000022558]","","",NA,NA,60,1
"modest","l","No","","",NA,1,"[0.4509278000004997]","","",NA,NA,60,1
"stomach","d","HIT","","",NA,0,"[0.3504882999986876]","","",NA,NA,60,1
"wonder","l","No","","",NA,1,"[0.43385940000007395]","","",NA,NA,60,1
"body","l","No","","",NA,1,"[0.7838186999979371]","","",NA,NA,60,1
"wonder","d","HIT","","",NA,0,"[0.46724320000066655]","","",NA,NA,60,1
"item","l","No","","",NA,1,"[0.40048399999795947]","","",NA,NA,60,1
"column","l","No","","",NA,1,"[0.3170671999978367]","","",NA,NA,60,1
"pencil","l","No","","",NA,1,"[0.284182299998065]","","",NA,NA,60,1
"trust","l","No","","",NA,1,"[0.33420570000089356]","","",NA,NA,60,1
"item","l","No","","",NA,1,"[0.383791399999609]","","",NA,NA,60,1
"trust","d","HIT","","",NA,0,"[0.4670415000000503]","","",NA,NA,60,1
"bathroom","l","No","","",NA,1,"[0.48399499999868567, 2.100356200000533]","","",NA,NA,60,1
"honey","l","No","","",NA,1,"[0.30060629999934463]","","",NA,NA,60,1
"bathroom","d","HIT","","",NA,0,"[0.35066809999989346]","","",NA,NA,60,1
"modest","l","No","","",NA,1,"[0.31748049999805517]","","",NA,NA,60,1
"cottage","l","No","","",NA,1,"[0.6004561000008835]","","",NA,NA,60,1
"dark","l","No","","",NA,1,"[0.5006732000001648]","","",NA,NA,60,1
"cottage","d","HIT","","",NA,0,"[0.3005150999997568]","","",NA,NA,60,1
"legend","l","No","","",NA,1,"[0.33391520000077435]","","",NA,NA,60,1
"serious","l","No","","",NA,1,"[0.33399009999993723]","","",NA,NA,60,1
"legend","d","HIT","","",NA,1,"[0.8005056999973021]","","",NA,NA,60,1
"history","l","No","","",NA,1,"[0.36729420000119717]","","",NA,NA,60,1
"pencil","l","No","","",NA,1,"[0.3004116999982216]","","",NA,NA,60,1
"history","d","HIT","","",NA,0,"[0.31714459999784594, 2.2668830000002345]","","",NA,NA,60,1
"metal","l","No","","",NA,1,"[0.4171292999999423]","","",NA,NA,60,1
"column","l","No","","",NA,1,"[0.35049110000181827]","","",NA,NA,60,1
"metal","d","HIT","","",NA,0,"[0.45058739999876707]","","",NA,NA,60,1
