"","Subject","Session Number","Condition","Mood Induced","Code","agegr"
"1","1","1","Control","Positive","E09IC","YA"
"2","1","2","Control","Negative",NA,"YA"
"3","1","3","Control","Neu",NA,"YA"
"4","2","1","Mood regulation","Positive","O05JD","YA"
"5","2","2","Mood regulation","Neu",NA,"YA"
"6","2","3","Mood regulation","Negative",NA,"YA"
"7","3","1","Control","Negative","S06EP","YA"
"8","3","2","Control","Positive",NA,"YA"
"9","3","3","Control","Neu",NA,"YA"
"10","4","1","Mood regulation","Negative","A11RJ","YA"
"11","4","2","Mood regulation","Neu",NA,"YA"
"12","4","3","Mood regulation","Positive",NA,"YA"
"13","5","1","Control","Neu","A07SS","YA"
"14","5","2","Control","Negative",NA,"YA"
"15","5","3","Control","Positive",NA,"YA"
"16","6","1","Mood regulation","Neu","R24OT","YA"
"17","6","2","Mood regulation","Positive",NA,"YA"
"18","6","3","Mood regulation","Negative",NA,"YA"
"19","7","1","Control","Positive","A09UN","YA"
"20","7","2","Control","Negative",NA,"YA"
"21","7","3","Control","Neu",NA,"YA"
"22","8","1","Mood regulation","Positive","L04UL","YA"
"23","8","2","Mood regulation","Neu",NA,"YA"
"24","8","3","Mood regulation","Negative",NA,"YA"
"25","9","1","Control","Negative","D03AV","YA"
"26","9","2","Control","Positive",NA,"YA"
"27","9","3","Control","Neu",NA,"YA"
"28","10","1","Mood regulation","Negative","A06RK","YA"
"29","10","2","Mood regulation","Neu",NA,"YA"
"30","10","3","Mood regulation","Positive",NA,"YA"
"31","11","1","Control","Neu","I05BP","YA"
"32","11","2","Control","Negative",NA,"YA"
"33","11","3","Control","Positive",NA,"YA"
"34","12","1","Mood regulation","Neu","M01VV","YA"
"35","12","2","Mood regulation","Positive",NA,"YA"
"36","12","3","Mood regulation","Negative",NA,"YA"
"37","13","1","Control","Positive","U02NS","YA"
"38","13","2","Control","Negative",NA,"YA"
"39","13","3","Control","Neu",NA,"YA"
"40","14","1","Mood regulation","Positive","A06IE","YA"
"41","14","2","Mood regulation","Neu",NA,"YA"
"42","14","3","Mood regulation","Negative",NA,"YA"
"43","15","1","Control","Negative","A03EL","YA"
"44","15","2","Control","Positive",NA,"YA"
"45","15","3","Control","Neu",NA,"YA"
"46","16","1","Mood regulation","Negative","M08DJ","YA"
"47","16","2","Mood regulation","Positive",NA,"YA"
"48","16","3","Mood regulation","Neu",NA,"YA"
"49","17","1","Control","Neu","A09DR","YA"
"50","17","2","Control","Negative",NA,"YA"
"51","17","3","Control","Positive",NA,"YA"
"52","18","1","Mood regulation","Neu","O04MD","YA"
"53","18","2","Mood regulation","Positive",NA,"YA"
"54","18","3","Mood regulation","Negative",NA,"YA"
"55","19","1","Control","Positive","A10CM","YA"
"56","19","2","Control","Negative",NA,"YA"
"57","19","3","Control","Neu",NA,"YA"
"58","20","1","Mood regulation","Positive","E04LA","YA"
"59","20","2","Mood regulation","Neu",NA,"YA"
"60","20","3","Mood regulation","Negative",NA,"YA"
