"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session","PM.lenient","condition","baseline_valence","baseline_arousa","valence_after_ind","arousal_after_ind","valence_after_PM","arousal_after_PM","valence_bef_after_ind","arousal_bef_after_ind","arousal_bef_after_PM","valence_bef_after_PM","recognition","agegroup","cond","OT_task_only","OT_task_PM","OT_task_only_rt","OT_task_PM_rt","PM_cost","c_tcaq","tcaq_g","MOCA"
"detail","h","PM cue","",NA,NA,NA,"","[1.4005114999890793, 2.9503007999737747]","['d', 'h']",0,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"village","h","PM cue","",NA,NA,NA,"","[1.516897199995583]","['h']",1,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"circle","h","PM cue","",NA,NA,NA,"","[1.3670966000063345]","['h']",1,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"detail","h","PM cue","",NA,NA,NA,"","[1.7837004000029992]","['h']",1,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"circle","h","PM cue","",NA,NA,NA,"","[1.5335550000017975]","['h']",1,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"village","h","PM cue","",NA,NA,NA,"","[1.350957999995444]","['h']",1,NA,1,2,1,"Negative",32,31,21,40,32,34,-11,9,3,0,1,1,"Negative",0.875,0.851351351351351,1.01797675499911,1.06595399999768,0.0479772449985683,44,79,NA
"bottle","h","PM cue","",NA,NA,NA,"","[1.350472099991748]","['l']",0,NA,10,1,0,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"writer","h","PM cue","",NA,NA,NA,"","[1.183421299996553]","['d']",0,NA,10,1,0,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"event","h","PM cue","",NA,NA,NA,"","[1.8837552000040887]","['d']",0,NA,10,1,0,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"writer","h","PM cue","",NA,NA,NA,"","[1.1836149000009755]","['h']",1,NA,10,1,1,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"bottle","h","PM cue","",NA,NA,NA,"","[1.7007140000059735]","['d']",0,NA,10,1,0,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"event","h","PM cue","",NA,NA,NA,"","[1.4504239999951096]","['d']",0,NA,10,1,0,"Negative",72,66,36,53,41,60,-36,-13,-6,-31,1,1,"Negative",0.775,0.689189189189189,0.930889676925383,1.5057261499992,0.574836473073821,69,93,NA
"detail","h","PM cue","",NA,NA,NA,"","[1.8171824999153614]","['h']",1,NA,101,1,1,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"village","h","PM cue","",NA,NA,NA,"","[1.5337017001584172]","['h']",1,NA,101,1,1,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"circle","h","PM cue","",NA,NA,NA,"","[]","None",0,NA,101,1,0,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"detail","h","PM cue","",NA,NA,NA,"","[1.6338625999633223]","['h']",1,NA,101,1,1,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"circle","h","PM cue","",NA,NA,NA,"","[1.1503397999331355]","['h']",1,NA,101,1,1,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"village","h","PM cue","",NA,NA,NA,"","[1.350404999917373]","['h']",1,NA,101,1,1,"Negative",91.5,23,89,21,92,25,-2.5,-2,2,0.5,1,2,"Negative",1,0.972972972972973,0.790998729993589,0.971529845212114,0.180531115218525,33,51,30
"wagon","h","PM cue","",NA,NA,NA,"","[1.4670890999841504]","['h']",1,NA,102,3,1,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"teacher","h","PM cue","",NA,NA,NA,"","[0.8328483999939635, 2.900062100001378]","['d', 'h']",0,NA,102,3,1,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"curious","h","PM cue","",NA,NA,NA,"","[0.8672409999999218]","['l']",0,NA,102,3,0,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"wagon","h","PM cue","",NA,NA,NA,"","[2.0004108999855816]","['h']",1,NA,102,3,1,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"curious","h","PM cue","",NA,NA,NA,"","[2.1504331000032835]","['h']",1,NA,102,3,1,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"teacher","h","PM cue","",NA,NA,NA,"","[1.4671814999892376, 2.0001410999975633]","['h', 'h']",1,NA,102,3,1,"Negative",73,38,36,66,34,67,-37,28,29,-39,1,2,"Negative",0.925,0.959459459459459,0.821704364997277,1.06439455138914,0.242690186391863,38,70,28
"bottle","h","PM cue","",NA,NA,NA,"","[0.8511509001255035]","['l']",0,NA,100,1,0,"Negative",72.5,49.5,72,50,71,49,-0.5,0.5,-0.5,-1.5,1,2,"Negative",0.85,0.905405405405405,0.99869722998701,1.21398925972365,0.215292029736641,43,58,28
